basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2011.01,2,1141,M11e,Shotenro,1-1 (8-7),false,hatakikomi,1106,M12e,Koryu,1-1 (8-7),true
2011.01,2,1011,M10w,Hakuba,1-1 (8-7),true,yorikiri,1018,M11w,Shimotori,1-1 (2-13),false
2011.01,2,1018,M11w,Shimotori,1-1 (2-13),false,yorikiri,1011,M10w,Hakuba,1-1 (8-7),true
2011.01,2,813,M8e,Kitataiki,1-1 (9-6),false,hatakikomi,842,M10e,Miyabiyama,1-1 (6-9),true
2011.01,2,842,M10e,Miyabiyama,1-1 (6-9),true,hatakikomi,813,M8e,Kitataiki,1-1 (9-6),false
2011.01,2,39,M9w,Wakanosato,2-0 (8-7),true,oshidashi,2818,M8w,Tokitenku,0-2 (6-9),false
2011.01,2,2818,M8w,Tokitenku,0-2 (6-9),false,oshidashi,39,M9w,Wakanosato,2-0 (8-7),true
2011.01,2,875,M9e,Takamisakari,2-0 (6-9),true,uwatenage,7115,M7w,Tosayutaka,0-2 (7-8),false
2011.01,2,7115,M7w,Tosayutaka,0-2 (7-8),false,uwatenage,875,M9e,Takamisakari,2-0 (6-9),true
2011.01,2,41,M6e,Kyokutenho,1-1 (7-8),false,katasukashi,1284,M7e,Takekaze,1-1 (8-7),true
2011.01,2,1284,M7e,Takekaze,1-1 (8-7),true,katasukashi,41,M6e,Kyokutenho,1-1 (7-8),false
2011.01,2,1009,M5w,Asasekiryu,1-1 (6-9),true,yoritaoshi,6572,M6w,Gagamaru,1-1 (5-10),false
2011.01,2,6572,M6w,Gagamaru,1-1 (5-10),false,yoritaoshi,1009,M5w,Asasekiryu,1-1 (6-9),true
2011.01,2,6018,M4e,Homasho,1-1 (8-7),true,yoritaoshi,6468,M5e,Goeido,0-2 (11-4),false
2011.01,2,6468,M5e,Goeido,0-2 (11-4),false,yoritaoshi,6018,M4e,Homasho,1-1 (8-7),true
2011.01,2,2930,M4w,Tokusegawa,2-0 (9-6),true,hatakikomi,5944,M3w,Tamawashi,1-1 (5-10),false
2011.01,2,5944,M3w,Tamawashi,1-1 (5-10),false,hatakikomi,2930,M4w,Tokusegawa,2-0 (9-6),true
2011.01,2,1235,S1e,Kisenosato,1-1 (10-5),false,hatakikomi,6771,M3e,Aran,1-1 (5-10),true
2011.01,2,6771,M3e,Aran,1-1 (5-10),true,hatakikomi,1235,S1e,Kisenosato,1-1 (10-5),false
2011.01,2,1226,S1w,Kotoshogiku,2-0 (11-4),true,yorikiri,6599,M2e,Tochinoshin,0-2 (4-11),false
2011.01,2,6599,M2e,Tochinoshin,0-2 (4-11),false,yorikiri,1226,S1w,Kotoshogiku,2-0 (11-4),true
2011.01,2,7,O1e,Kaio,1-1 (9-6),false,yorikiri,89,M1w,Aminishiki,1-1 (6-9),true
2011.01,2,89,M1w,Aminishiki,1-1 (6-9),true,yorikiri,7,O1e,Kaio,1-1 (9-6),false
2011.01,2,1111,O2w,Harumafuji,2-0 (8-7),true,tsuridashi,5967,M2w,Yoshikaze,0-2 (4-11),false
2011.01,2,5967,M2w,Yoshikaze,0-2 (4-11),false,tsuridashi,1111,O2w,Harumafuji,2-0 (8-7),true
2011.01,2,2830,O2e,Kotooshu,1-1 (10-5),false,yoritaoshi,6473,K1e,Tochiozan,1-1 (6-9),true
2011.01,2,6473,K1e,Tochiozan,1-1 (6-9),true,yoritaoshi,2830,O2e,Kotooshu,1-1 (10-5),false
2011.01,2,1219,K1w,Kakuryu,0-2 (8-7),false,tsuridashi,6432,O1w,Baruto,1-1 (9-6),true
2011.01,2,6432,O1w,Baruto,1-1 (9-6),true,tsuridashi,1219,K1w,Kakuryu,0-2 (8-7),false
2011.01,2,1123,Y1e,Hakuho,2-0 (14-1),true,tsukiotoshi,1227,M1e,Toyonoshima,1-1 (8-7),false
2011.01,2,1227,M1e,Toyonoshima,1-1 (8-7),false,tsukiotoshi,1123,Y1e,Hakuho,2-0 (14-1),true
2011.01,3,795,Ms2w,Tamaasuka,0-2 (4-3),false,yorikiri,2851,J13w,Fujiazuma,1-2 (8-7),true
2011.01,3,2851,J13w,Fujiazuma,1-2 (8-7),true,yorikiri,795,Ms2w,Tamaasuka,0-2 (4-3),false
2011.01,3,1266,J12w,Nionoumi,1-2 (5-10),false,yorikiri,6654,J14w,Masunoyama,3-0 (8-5-2),true
2011.01,3,6654,J14w,Masunoyama,3-0 (8-5-2),true,yorikiri,1266,J12w,Nionoumi,1-2 (5-10),false
2011.01,3,1134,J14e,Tsurugidake,3-0 (7-8),true,tsukiotoshi,8900,J10w,Akiseyama,1-2 (8-7),false
2011.01,3,8900,J10w,Akiseyama,1-2 (8-7),false,tsukiotoshi,1134,J14e,Tsurugidake,3-0 (7-8),true
2011.01,3,898,J13e,Chiyohakuho,3-0 (7-8),true,okuritaoshi,1032,J10e,Hochiyama,0-3 (7-8),false
2011.01,3,1032,J10e,Hochiyama,0-3 (7-8),false,okuritaoshi,898,J13e,Chiyohakuho,3-0 (7-8),true
2011.01,3,296,J11w,Yoshiazuma,1-2 (6-9),false,oshitaoshi,1204,J9w,Kakizoe,2-1 (4-11),true
2011.01,3,1204,J9w,Kakizoe,2-1 (4-11),true,oshitaoshi,296,J11w,Yoshiazuma,1-2 (6-9),false
2011.01,3,2831,J9e,Hoshikaze,2-1 (9-6),false,hatakikomi,6766,J11e,Kiyoseumi,1-2 (7-8),true
2011.01,3,6766,J11e,Kiyoseumi,1-2 (7-8),true,hatakikomi,2831,J9e,Hoshikaze,2-1 (9-6),false
2011.01,3,113,J8e,Asofuji,1-2 (8-7),true,shitatedashinage,6497,J8w,Daido,1-2 (9-6),false
2011.01,3,6497,J8w,Daido,1-2 (9-6),false,shitatedashinage,113,J8e,Asofuji,1-2 (8-7),true
2011.01,3,226,J6w,Wakatenro,1-2 (5-10),false,oshidashi,2879,J7e,Sadanoumi,3-0 (7-8),true
2011.01,3,2879,J7e,Sadanoumi,3-0 (7-8),true,oshidashi,226,J6w,Wakatenro,1-2 (5-10),false
2011.01,3,152,J6e,Tamanoshima,2-1 (9-6),true,tsukiotoshi,2842,J7w,Sadanofuji,1-2 (6-9),false
2011.01,3,2842,J7w,Sadanofuji,1-2 (6-9),false,tsukiotoshi,152,J6e,Tamanoshima,2-1 (9-6),true
2011.01,3,864,J4e,Bushuyama,1-2 (8-7),false,yorikiri,11728,J5e,Takarafuji,2-1 (8-7),true
2011.01,3,11728,J5e,Takarafuji,2-1 (8-7),true,yorikiri,864,J4e,Bushuyama,1-2 (8-7),false
2011.01,3,2835,J5w,Shironoryu,2-1 (4-7-4),true,yoritaoshi,6620,J3w,Sakaizawa,1-2 (7-8),false
2011.01,3,6620,J3w,Sakaizawa,1-2 (7-8),false,yoritaoshi,2835,J5w,Shironoryu,2-1 (4-7-4),true
2011.01,3,2847,J4w,Masatsukasa,2-1 (8-7),true,yorikiri,6767,J2w,Tochinowaka,1-2 (12-3),false
2011.01,3,6767,J2w,Tochinowaka,1-2 (12-3),false,yorikiri,2847,J4w,Masatsukasa,2-1 (8-7),true
2011.01,3,371,J1w,Kyokunankai,1-2 (5-10),false,yorikiri,865,J2e,Kasugao,3-0 (12-3),true
2011.01,3,865,J2e,Kasugao,3-0 (12-3),true,yorikiri,371,J1w,Kyokunankai,1-2 (5-10),false
2011.01,3,6480,J3e,Takayasu,2-1 (9-6),true,oshidashi,6753,J1e,Kaisei,0-3 (8-7),false
2011.01,3,6753,J1e,Kaisei,0-3 (8-7),false,oshidashi,6480,J3e,Takayasu,2-1 (9-6),true
2011.01,3,10,M16w,Tochinonada,3-0 (9-6),true,tsukiotoshi,4980,M16e,Sokokurai,2-1 (8-7),false
2011.01,3,4980,M16e,Sokokurai,2-1 (8-7),false,tsukiotoshi,10,M16w,Tochinonada,3-0 (9-6),true
2011.01,3,78,M17e,Toyozakura,0-3 (5-10),false,oshidashi,6467,M15w,Toyohibiki,2-1 (9-6),true
2011.01,3,6467,M15w,Toyohibiki,2-1 (9-6),true,oshidashi,78,M17e,Toyozakura,0-3 (5-10),false
2011.01,3,900,M14e,Wakakoyu,2-1 (9-6),false,hatakikomi,1187,M15e,Kokkai,1-2 (3-12),true
2011.01,3,1187,M15e,Kokkai,1-2 (3-12),true,hatakikomi,900,M14e,Wakakoyu,2-1 (9-6),false
2011.01,3,206,M13w,Kotokasuga,1-2 (8-7),true,tsukiotoshi,6010,M14w,Kimurayama,1-2 (6-9),false
2011.01,3,6010,M14w,Kimurayama,1-2 (6-9),false,tsukiotoshi,206,M13w,Kotokasuga,1-2 (8-7),true
2011.01,3,1106,M12e,Koryu,1-2 (8-7),false,yorikiri,6463,M13e,Okinoumi,2-1 (11-4),true
2011.01,3,6463,M13e,Okinoumi,2-1 (11-4),true,yorikiri,1106,M12e,Koryu,1-2 (8-7),false
2011.01,3,1018,M11w,Shimotori,1-2 (2-13),false,yorikiri,1136,M12w,Mokonami,2-1 (8-7),true
2011.01,3,1136,M12w,Mokonami,2-1 (8-7),true,yorikiri,1018,M11w,Shimotori,1-2 (2-13),false
